year,sectortype,Debit Value,2Yr's Average,Lowest Value,Highest Value
01/06/12,Photographic,27763621,,,
01/07/12,Photographic,29013208,,,
01/08/12,Photographic,27592830,,,
01/09/12,Photographic,23623219,,,
01/10/12,Photographic,25869207,,,
01/11/12,Photographic,26607570,,,
01/12/12,Photographic,38645378,,,
01/01/13,Photographic,20294360,,,
01/02/13,Photographic,15699523,,,
01/03/13,Photographic,21229597,,,
01/04/13,Photographic,19634194,,,
01/05/13,Photographic,21634517,,,
01/06/13,Photographic,20948073,,,
01/07/13,Photographic,23257694,,,
01/08/13,Photographic,22021110,,,
01/09/13,Photographic,21307599,,,
01/10/13,Photographic,20911285,,,
01/11/13,Photographic,21452397,,,
01/12/13,Photographic,22908962,,,
01/01/14,Photographic,18910779,,,
01/02/14,Photographic,16036012,,,
01/03/14,Photographic,20385938,,,
01/04/14,Photographic,18380523,,,
01/04/12,Handicraft,9491128,,,
01/05/12,Handicraft,9959243,,,
01/06/12,Handicraft,8960089,,,
01/07/12,Handicraft,10012674,,,
01/08/12,Handicraft,9940516,,,
01/09/12,Handicraft,9788531,,,
01/10/12,Handicraft,11726169,,,
01/11/12,Handicraft,11644602,,,
01/12/12,Handicraft,10027083,,,
01/01/13,Handicraft,10418417,,,
01/02/13,Handicraft,10461475,,,
01/03/13,Handicraft,10239944,,,
01/04/13,Handicraft,10620598,,,
01/05/13,Handicraft,10729425,,,
01/06/13,Handicraft,9910162,,,
01/07/13,Handicraft,10600789,,,
01/08/13,Handicraft,11133235,,,
01/09/13,Handicraft,11179075,,,
01/10/13,Handicraft,12852618,,,
01/11/13,Handicraft,13097651,,,
01/12/13,Handicraft,11517138,,,
01/01/14,Handicraft,11325297,,,
01/02/14,Handicraft,10741403,,,
01/03/14,Handicraft,12203853,,,
01/04/14,Handicraft,11095410,,,
01/04/12,Sports shops,308443155,,,
01/05/12,Sports shops,304125100,,,
01/06/12,Sports shops,317880909,,,
01/07/12,Sports shops,358924232,,,
01/08/12,Sports shops,390098732,,,
01/09/12,Sports shops,321295335,,,
01/10/12,Sports shops,315007292,,,
01/11/12,Sports shops,287680959,,,
01/12/12,Sports shops,418008574,,,
01/01/13,Sports shops,268693683,,,
01/02/13,Sports shops,240352401,,,
01/03/13,Sports shops,269570959,,,
01/04/13,Sports shops,303486059,,,
01/05/13,Sports shops,329531447,,,
01/06/13,Sports shops,322364849,,,
01/07/13,Sports shops,381667606,,,
01/08/13,Sports shops,369418053,,,
01/09/13,Sports shops,337619963,,,
01/10/13,Sports shops,308127721,,,
01/11/13,Sports shops,309843495,,,
01/12/13,Sports shops,362086905,,,
01/01/14,Sports shops,286583484,,,
01/02/14,Sports shops,258046200,,,
01/03/14,Sports shops,317424687,,,
01/04/14,Sports shops,337231553,,,
01/04/12,Jewellers,118012155,,,
01/05/12,Jewellers,123869809,,,
01/06/12,Jewellers,124998939,,,
01/07/12,Jewellers,135416089,,,
01/08/12,Jewellers,128533862,,,
01/09/12,Jewellers,119697231,,,
01/10/12,Jewellers,125275587,,,
01/11/12,Jewellers,144767339,,,
01/12/12,Jewellers,298732291,,,
01/01/13,Jewellers,107934077,,,
01/02/13,Jewellers,117291729,,,
01/03/13,Jewellers,124340661,,,
01/04/13,Jewellers,128645806,,,
01/05/13,Jewellers,129992010,,,
01/06/13,Jewellers,133763113,,,
01/07/13,Jewellers,147196949,,,
01/08/13,Jewellers,143928981,,,
01/09/13,Jewellers,133315335,,,
01/10/13,Jewellers,134639093,,,
01/11/13,Jewellers,163706402,,,
01/12/13,Jewellers,268433050,,,
01/01/14,Jewellers,127770962,,,
01/02/14,Jewellers,132261288,,,
01/03/14,Jewellers,149530537,,,
01/04/14,Jewellers,133605415,,,
01/04/12,Computer software,105528028,,,
01/05/12,Computer software,94118897,,,
01/06/12,Computer software,87924222,,,
01/07/12,Computer software,99462886,,,
01/08/12,Computer software,84436245,,,
01/09/12,Computer software,97391075,,,
01/10/12,Computer software,98572545,,,
01/11/12,Computer software,101566512,,,
01/12/12,Computer software,88987718,,,
01/01/13,Computer software,62605859,,,
01/02/13,Computer software,57162043,,,
01/03/13,Computer software,56511143,,,
01/04/13,Computer software,105979775,,,
01/05/13,Computer software,49566690,,,
01/06/13,Computer software,45365597,,,
01/07/13,Computer software,50745241,,,
01/08/13,Computer software,50984680,,,
01/09/13,Computer software,55670600,,,
01/10/13,Computer software,54822454,,,
01/11/13,Computer software,56491399,,,
01/12/13,Computer software,68239580,,,
01/01/14,Computer software,56896098,,,
01/02/14,Computer software,47704565,,,
01/03/14,Computer software,52463903,,,
01/04/14,Computer software,50637927,,,
01/04/12,Medical goods,6009726,,,
01/05/12,Medical goods,7005449,,,
01/06/12,Medical goods,5479330,,,
01/07/12,Medical goods,6404984,,,
01/08/12,Medical goods,6914915,,,
01/09/12,Medical goods,6415018,,,
01/10/12,Medical goods,7681353,,,
01/11/12,Medical goods,7715537,,,
01/12/12,Medical goods,6949776,,,
01/01/13,Medical goods,7236394,,,
01/02/13,Medical goods,9200678,,,
01/03/13,Medical goods,8565125,,,
01/04/13,Medical goods,6978046,,,
01/05/13,Medical goods,9237338,,,
01/06/13,Medical goods,8694115,,,
01/07/13,Medical goods,9726757,,,
01/08/13,Medical goods,8687930,,,
01/09/13,Medical goods,8528980,,,
01/10/13,Medical goods,9812929,,,
01/11/13,Medical goods,9191790,,,
01/12/13,Medical goods,8208907,,,
01/01/14,Medical goods,8882626,,,
01/02/14,Medical goods,9285870,,,
01/03/14,Medical goods,10316499,,,
01/04/14,Medical goods,10129922,,,
01/04/12,Chemists,247025832,,,
01/05/12,Chemists,275273503,,,
01/06/12,Chemists,254115560,,,
01/07/12,Chemists,277942872,,,
01/08/12,Chemists,258680372,,,
01/09/12,Chemists,225717709,,,
01/10/12,Chemists,284769287,,,
01/11/12,Chemists,301227733,,,
01/12/12,Chemists,470327921,,,
01/01/13,Chemists,229138349,,,
01/02/13,Chemists,227009768,,,
01/03/13,Chemists,236641404,,,
01/04/13,Chemists,242104675,,,
01/05/13,Chemists,269291813,,,
01/06/13,Chemists,253995375,,,
01/07/13,Chemists,307288061,,,
01/08/13,Chemists,258278168,,,
01/09/13,Chemists,258984808,,,
01/10/13,Chemists,283047961,,,
01/11/13,Chemists,307586308,,,
01/12/13,Chemists,521866026,,,
01/01/14,Chemists,245470635,,,
01/02/14,Chemists,238142447,,,
01/03/14,Chemists,284482105,,,
01/04/14,Chemists,263181059,,,
01/04/12,Optical goods,89872842,,,
01/05/12,Optical goods,94961024,,,
01/06/12,Optical goods,83741069,,,
01/07/12,Optical goods,96387145,,,
01/08/12,Optical goods,91758319,,,
01/09/12,Optical goods,84180613,,,
01/10/12,Optical goods,95195043,,,
01/11/12,Optical goods,85223874,,,
01/12/12,Optical goods,65542904,,,
01/01/13,Optical goods,83306011,,,
01/02/13,Optical goods,92699817,,,
01/03/13,Optical goods,90869751,,,
01/04/13,Optical goods,95429962,,,
01/05/13,Optical goods,98149926,,,
01/06/13,Optical goods,89825893,,,
01/07/13,Optical goods,104170748,,,
01/08/13,Optical goods,95065213,,,
01/09/13,Optical goods,93894851,,,
01/10/13,Optical goods,95330123,,,
01/11/13,Optical goods,88193374,,,
01/12/13,Optical goods,73841318,,,
01/01/14,Optical goods,95413130,,,
01/02/14,Optical goods,94095463,,,
01/03/14,Optical goods,109762019,,,
01/04/14,Optical goods,99102727,,,
01/04/12,Cosmetic stores,39376926,,,
01/05/12,Cosmetic stores,41514943,,,
01/06/12,Cosmetic stores,40828264,,,
01/07/12,Cosmetic stores,44093281,,,
01/08/12,Cosmetic stores,42914630,,,
01/09/12,Cosmetic stores,39971313,,,
01/10/12,Cosmetic stores,48777104,,,
01/11/12,Cosmetic stores,57281297,,,
01/12/12,Cosmetic stores,110316946,,,
01/01/13,Cosmetic stores,34844236,,,
01/02/13,Cosmetic stores,38725115,,,
01/03/13,Cosmetic stores,39309621,,,
01/04/13,Cosmetic stores,45017569,,,
01/05/13,Cosmetic stores,44351635,,,
01/06/13,Cosmetic stores,43150073,,,
01/07/13,Cosmetic stores,46808248,,,
01/08/13,Cosmetic stores,45136391,,,
01/09/13,Cosmetic stores,45402790,,,
01/10/13,Cosmetic stores,49415751,,,
01/11/13,Cosmetic stores,61040229,,,
01/12/13,Cosmetic stores,113504253,,,
01/01/14,Cosmetic stores,37700243,,,
01/02/14,Cosmetic stores,38347393,,,
01/03/14,Cosmetic stores,47215637,,,
01/04/14,Cosmetic stores,42462508,,,
01/04/12,Tobacconists,1828480,,,
01/05/12,Tobacconists,2045396,,,
01/06/12,Tobacconists,2122465,,,
01/07/12,Tobacconists,2299809,,,
01/08/12,Tobacconists,2193582,,,
01/09/12,Tobacconists,1879599,,,
01/10/12,Tobacconists,2188571,,,
01/11/12,Tobacconists,2045920,,,
01/12/12,Tobacconists,2731043,,,
01/01/13,Tobacconists,2192533,,,
01/02/13,Tobacconists,1623332,,,
01/03/13,Tobacconists,2269823,,,
01/04/13,Tobacconists,2279759,,,
01/05/13,Tobacconists,2822464,,,
01/06/13,Tobacconists,2861382,,,
01/07/13,Tobacconists,3460836,,,
01/08/13,Tobacconists,3302435,,,
01/09/13,Tobacconists,3292511,,,
01/10/13,Tobacconists,3821800,,,
01/11/13,Tobacconists,3659560,,,
01/12/13,Tobacconists,4540493,,,
01/01/14,Tobacconists,4525228,,,
01/02/14,Tobacconists,4149070,,,
01/03/14,Tobacconists,4859313,,,
01/04/14,Tobacconists,4762419,,,
01/04/12,Florists,30657322,,,
01/05/12,Florists,34586981,,,
01/06/12,Florists,31533562,,,
01/07/12,Florists,33074711,,,
01/08/12,Florists,31710628,,,
01/09/12,Florists,29601652,,,
01/10/12,Florists,30129047,,,
01/11/12,Florists,28608535,,,
01/12/12,Florists,43268687,,,
01/01/13,Florists,25366488,,,
01/02/13,Florists,45290535,,,
01/03/13,Florists,50911085,,,
01/04/13,Florists,31721476,,,
01/05/13,Florists,35026903,,,
01/06/13,Florists,32955293,,,
01/07/13,Florists,34656319,,,
01/08/13,Florists,30991981,,,
01/09/13,Florists,31109757,,,
01/10/13,Florists,31544272,,,
01/11/13,Florists,30039797,,,
01/12/13,Florists,43608044,,,
01/01/14,Florists,27759896,,,
01/02/14,Florists,42370340,,,
01/03/14,Florists,54401268,,,
01/04/14,Florists,35192074,,,
01/04/12,Artists' supplies,19968033,,,
01/05/12,Artists' supplies,20358312,,,
01/06/12,Artists' supplies,18306047,,,
01/07/12,Artists' supplies,20149149,,,
01/08/12,Artists' supplies,19695111,,,
01/09/12,Artists' supplies,18817525,,,
01/10/12,Artists' supplies,24033978,,,
01/11/12,Artists' supplies,25491736,,,
01/12/12,Artists' supplies,26903770,,,
01/01/13,Artists' supplies,17939266,,,
01/02/13,Artists' supplies,18974473,,,
01/03/13,Artists' supplies,20197630,,,
01/04/13,Artists' supplies,21714764,,,
01/05/13,Artists' supplies,20627429,,,
01/06/13,Artists' supplies,18229249,,,
01/07/13,Artists' supplies,20389182,,,
01/08/13,Artists' supplies,20927670,,,
01/09/13,Artists' supplies,21343018,,,
01/10/13,Artists' supplies,24724164,,,
01/11/13,Artists' supplies,25978799,,,
01/12/13,Artists' supplies,28871512,,,
01/01/14,Artists' supplies,19889017,,,
01/02/14,Artists' supplies,20323358,,,
01/03/14,Artists' supplies,22728464,,,
01/04/14,Artists' supplies,20829700,,,
01/04/12,Art supplies,27053680,,,
01/05/12,Art supplies,27585416,,,
01/06/12,Art supplies,26336689,,,
01/07/12,Art supplies,27343952,,,
01/08/12,Art supplies,24716010,,,
01/09/12,Art supplies,26721062,,,
01/10/12,Art supplies,31771418,,,
01/11/12,Art supplies,30483933,,,
01/12/12,Art supplies,34265212,,,
01/01/13,Art supplies,22382680,,,
01/02/13,Art supplies,25046897,,,
01/03/13,Art supplies,28375689,,,
01/04/13,Art supplies,29568565,,,
01/05/13,Art supplies,29151732,,,
01/06/13,Art supplies,28395657,,,
01/07/13,Art supplies,28360848,,,
01/08/13,Art supplies,27064959,,,
01/09/13,Art supplies,30502022,,,
01/10/13,Art supplies,32085800,,,
01/11/13,Art supplies,33676816,,,
01/12/13,Art supplies,35853790,,,
01/01/14,Art supplies,26279173,,,
01/02/14,Art supplies,26505158,,,
01/03/14,Art supplies,32818744,,,
01/04/14,Art supplies,29588264,,,
01/04/12,Pawn shops,3071897,,,
01/05/12,Pawn shops,3455849,,,
01/06/12,Pawn shops,3199100,,,
01/07/12,Pawn shops,3725068,,,
01/08/12,Pawn shops,3286047,,,
01/09/12,Pawn shops,3137821,,,
01/10/12,Pawn shops,3500733,,,
01/11/12,Pawn shops,3308701,,,
01/12/12,Pawn shops,3836156,,,
01/01/13,Pawn shops,3649446,,,
01/02/13,Pawn shops,1706478,,,
01/03/13,Pawn shops,3677752,,,
01/04/13,Pawn shops,3803829,,,
01/05/13,Pawn shops,4147052,,,
01/06/13,Pawn shops,3942237,,,
01/07/13,Pawn shops,4319282,,,
01/08/13,Pawn shops,4308929,,,
01/09/13,Pawn shops,4131469,,,
01/10/13,Pawn shops,4413392,,,
01/11/13,Pawn shops,4355559,,,
01/12/13,Pawn shops,5114283,,,
01/01/14,Pawn shops,4208354,,,
01/02/14,Pawn shops,3917163,,,
01/03/14,Pawn shops,4282933,,,
01/04/14,Pawn shops,4546896,,,
01/04/12,Gift shops,82532794,,,
01/05/12,Gift shops,83703558,,,
01/06/12,Gift shops,89368518,,,
01/07/12,Gift shops,90699018,,,
01/08/12,Gift shops,94291765,,,
01/09/12,Gift shops,87164510,,,
01/10/12,Gift shops,103858631,,,
01/11/12,Gift shops,126549660,,,
01/12/12,Gift shops,198722265,,,
01/01/13,Gift shops,78237819,,,
01/02/13,Gift shops,92604234,,,
01/03/13,Gift shops,92070854,,,
01/04/13,Gift shops,86891810,,,
01/05/13,Gift shops,87417655,,,
01/06/13,Gift shops,90984350,,,
01/07/13,Gift shops,98709290,,,
01/08/13,Gift shops,101030978,,,
01/09/13,Gift shops,97807746,,,
01/10/13,Gift shops,110631169,,,
01/11/13,Gift shops,138317971,,,
01/12/13,Gift shops,208704745,,,
01/01/14,Gift shops,88506192,,,
01/02/14,Gift shops,93086345,,,
01/03/14,Gift shops,110972332,,,
01/04/14,Gift shops,93855847,,,
01/04/12,Secondhand shops,3631300,,,
01/05/12,Secondhand shops,3687287,,,
01/06/12,Secondhand shops,3249776,,,
01/07/12,Secondhand shops,3996033,,,
01/08/12,Secondhand shops,3530054,,,
01/09/12,Secondhand shops,4506458,,,
01/10/12,Secondhand shops,4636797,,,
01/11/12,Secondhand shops,4238791,,,
01/12/12,Secondhand shops,4537336,,,
01/01/13,Secondhand shops,3069449,,,
01/02/13,Secondhand shops,6021923,,,
01/03/13,Secondhand shops,4252425,,,
01/04/13,Secondhand shops,4321821,,,
01/05/13,Secondhand shops,3795964,,,
01/06/13,Secondhand shops,4432905,,,
01/07/13,Secondhand shops,4742652,,,
01/08/13,Secondhand shops,4383774,,,
01/09/13,Secondhand shops,5381848,,,
01/10/13,Secondhand shops,5219834,,,
01/11/13,Secondhand shops,4604689,,,
01/12/13,Secondhand shops,5892263,,,
01/01/14,Secondhand shops,3906144,,,
01/02/14,Secondhand shops,4703558,,,
01/03/14,Secondhand shops,4748941,,,
01/04/14,Secondhand shops,4984276,,,
01/04/12,Luggage & leather goods,9561150,,,
01/05/12,Luggage & leather goods,9805220,,,
01/06/12,Luggage & leather goods,12361549,,,
01/07/12,Luggage & leather goods,12357973,,,
01/08/12,Luggage & leather goods,10900996,,,
01/09/12,Luggage & leather goods,10421003,,,
01/10/12,Luggage & leather goods,10649176,,,
01/11/12,Luggage & leather goods,11545313,,,
01/12/12,Luggage & leather goods,26138649,,,
01/01/13,Luggage & leather goods,12866921,,,
01/02/13,Luggage & leather goods,12148368,,,
01/03/13,Luggage & leather goods,11856529,,,
01/04/13,Luggage & leather goods,11844118,,,
01/05/13,Luggage & leather goods,12906550,,,
01/06/13,Luggage & leather goods,14929526,,,
01/07/13,Luggage & leather goods,14699091,,,
01/08/13,Luggage & leather goods,13140696,,,
01/09/13,Luggage & leather goods,12637394,,,
01/10/13,Luggage & leather goods,13121566,,,
01/11/13,Luggage & leather goods,14449929,,,
01/12/13,Luggage & leather goods,21854517,,,
01/01/14,Luggage & leather goods,11922650,,,
01/02/14,Luggage & leather goods,9954957,,,
01/03/14,Luggage & leather goods,12424151,,,
01/04/14,Luggage & leather goods,11527244,,,
01/04/12,Pet shops,74018470,,,
01/05/12,Pet shops,76320637,,,
01/06/12,Pet shops,74055776,,,
01/07/12,Pet shops,79517480,,,
01/08/12,Pet shops,79516853,,,
01/09/12,Pet shops,75306218,,,
01/10/12,Pet shops,81358226,,,
01/11/12,Pet shops,76124997,,,
01/12/12,Pet shops,88593833,,,
01/01/13,Pet shops,76479556,,,
01/02/13,Pet shops,100031666,,,
01/03/13,Pet shops,80454592,,,
01/04/13,Pet shops,79257501,,,
01/05/13,Pet shops,85734461,,,
01/06/13,Pet shops,80002896,,,
01/07/13,Pet shops,88043889,,,
01/08/13,Pet shops,88375091,,,
01/09/13,Pet shops,84729837,,,
01/10/13,Pet shops,88868914,,,
01/11/13,Pet shops,84843237,,,
01/12/13,Pet shops,93506876,,,
01/01/14,Pet shops,84835679,,,
01/02/14,Pet shops,79579659,,,
01/03/14,Pet shops,90767861,,,
01/04/14,Pet shops,88989532,,,
01/04/12,Religious goods,65050,,,
01/05/12,Religious goods,73109,,,
01/06/12,Religious goods,74277,,,
01/07/12,Religious goods,83295,,,
01/08/12,Religious goods,75567,,,
01/09/12,Religious goods,106711,,,
01/10/12,Religious goods,118907,,,
01/11/12,Religious goods,174058,,,
01/12/12,Religious goods,178201,,,
01/01/13,Religious goods,132438,,,
01/02/13,Religious goods,197985,,,
01/03/13,Religious goods,144973,,,
01/04/13,Religious goods,206178,,,
01/05/13,Religious goods,175145,,,
01/06/13,Religious goods,168168,,,
01/07/13,Religious goods,181819,,,
01/08/13,Religious goods,216243,,,
01/09/13,Religious goods,233104,,,
01/10/13,Religious goods,217079,,,
01/11/13,Religious goods,189268,,,
01/12/13,Religious goods,200422,,,
01/01/14,Religious goods,165587,,,
01/02/14,Religious goods,168635,,,
01/03/14,Religious goods,170889,,,
01/04/14,Religious goods,210286,,,
01/04/12,Direct sales,278078330,,,
01/05/12,Direct sales,287192634,,,
01/06/12,Direct sales,244886624,,,
01/07/12,Direct sales,264900634,,,
01/08/12,Direct sales,248670892,,,
01/09/12,Direct sales,249371834,,,
01/10/12,Direct sales,291125347,,,
01/11/12,Direct sales,269565492,,,
01/12/12,Direct sales,266491706,,,
01/01/13,Direct sales,305156239,,,
01/02/13,Direct sales,290441822,,,
01/03/13,Direct sales,299239830,,,
01/04/13,Direct sales,306771158,,,
01/05/13,Direct sales,295634774,,,
01/06/13,Direct sales,266616407,,,
01/07/13,Direct sales,281590360,,,
01/08/13,Direct sales,265894930,,,
01/09/13,Direct sales,286197288,,,
01/10/13,Direct sales,326621890,,,
01/11/13,Direct sales,253283987,,,
01/12/13,Direct sales,250154420,,,
01/01/14,Direct sales,263183087,,,
01/02/14,Direct sales,226602242,,,
01/03/14,Direct sales,259767385,,,
01/04/14,Direct sales,270403526,,,
01/04/12,Miscellaneous & speciality shops,226739042,,,
01/05/12,Miscellaneous & speciality shops,233256236,,,
01/06/12,Miscellaneous & speciality shops,206604560,,,
01/07/12,Miscellaneous & speciality shops,226027773,,,
01/08/12,Miscellaneous & speciality shops,211346710,,,
01/09/12,Miscellaneous & speciality shops,213123760,,,
01/10/12,Miscellaneous & speciality shops,259055203,,,
01/11/12,Miscellaneous & speciality shops,268228166,,,
01/12/12,Miscellaneous & speciality shops,223756652,,,
01/01/13,Miscellaneous & speciality shops,209300696,,,
01/02/13,Miscellaneous & speciality shops,231528694,,,
01/03/13,Miscellaneous & speciality shops,231248620,,,
01/04/13,Miscellaneous & speciality shops,216032599,,,
01/05/13,Miscellaneous & speciality shops,214639134,,,
01/06/13,Miscellaneous & speciality shops,188417061,,,
01/07/13,Miscellaneous & speciality shops,209457905,,,
01/08/13,Miscellaneous & speciality shops,206228921,,,
01/09/13,Miscellaneous & speciality shops,225713556,,,
01/10/13,Miscellaneous & speciality shops,249765958,,,
01/11/13,Miscellaneous & speciality shops,265700366,,,
01/12/13,Miscellaneous & speciality shops,281927819,,,
01/01/14,Miscellaneous & speciality shops,240048706,,,
01/02/14,Miscellaneous & speciality shops,224040206,,,
01/03/14,Miscellaneous & speciality shops,247583100,,,
01/04/14,Miscellaneous & speciality shops,233417322,,,
01/04/12,Sectorhead: Other retail,1935868430,,,
01/05/12,Sectorhead: Other retail,1983240063,,,
01/06/12,Sectorhead: Other retail,1868920837,,,
01/07/12,Sectorhead: Other retail,2012884836,,,
01/08/12,Sectorhead: Other retail,1962652340,,,
01/09/12,Sectorhead: Other retail,1848676209,,,
01/10/12,Sectorhead: Other retail,2109363507,,,
01/11/12,Sectorhead: Other retail,2145679607,,,
01/12/12,Sectorhead: Other retail,2875791466,,,
01/01/13,Sectorhead: Other retail,1768036946,,,
01/02/13,Sectorhead: Other retail,1806756288,,,
01/03/13,Sectorhead: Other retail,1858719591,,,
01/04/13,Sectorhead: Other retail,1980595361,,,
01/05/13,Sectorhead: Other retail,1925469823,,,
01/06/13,Sectorhead: Other retail,1824638646,,,
01/07/13,Sectorhead: Other retail,2051244018,,,
01/08/13,Sectorhead: Other retail,1958191995,,,
01/09/13,Sectorhead: Other retail,1996713287,,,
01/10/13,Sectorhead: Other retail,2085464949,,,
01/11/13,Sectorhead: Other retail,2160919409,,,
01/12/13,Sectorhead: Other retail,2888025501,,,
01/01/14,Sectorhead: Other retail,1862654782,,,
01/02/14,Sectorhead: Other retail,1754960740,,,
01/03/14,Sectorhead: Other retail,2051119159,,,
01/04/14,Sectorhead: Other retail,1952357148,,,
,,,,,
